Hankija ettevote,Hanke nimetus,Hankemaksumus EUR
EE,Microsoft Enterprise Agreement lepingu pikendamine,549091
EK,RFID tehnoloogia baasil automatiseeritud raudteevagunite tuvastamise susteemi projekteerimine. ehitamine ning toosse viimine,544344
EK,Veokite Mercedes-Benz varuosade ostmine,538720
EE,Valisturgude projektide manuaalne testimine,536500
EK,Hudraulikaseadmete remonditeenuse ostmine ,532800
EE,Arvete haldamise ja edastamise teenuse osutamine,522947
EK,Sammuvate ekskavaatorite E� roobas- ja rullpoorderingide ostmine,522440
EK,Vahelduvvoolu mootorite remonditeenuse ostmine,519972
EE,Toitlustusteenus,518000
TO,Paldiski paikesepargi paigaldus- ja ehitustood ,517787
EK,Isikukaitsevahendite ostmine,514632
NJ,Balti elektrijaama kuttesusteemi rekonstrueerimine,498020
NJ,110G13L terasest valudetailide ostmine,491205
EE,Geotechnical Investigations in Tootsi Suursoo,490768
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine. RH 197236. 3 kvartal ,490620
NJ,Kulgu tammi tasapinnaliste metallist veetokete remondikoha ehitus,484568
EE,Oracle Customer Care and Billing analuusi. arenduse ja testimistoode hankimine,481000
NJ,Energiaplokkide omavajaduste reduktsioonjahutusseadmete asendus,473156
EK,45-tonnise kandevoimega karjaarikalluri ostmine,470137
EK,Lintkonveierite rullikute ostmine ,469416
EE,Tire chip measurement testing. analysis and reporting,456626
EK,Sammuvate ekskavaatorite E� 15/90 roobas- ja rullpoorderingide ostmine,455544
EE,Auvere kompleksis ja Narvas asuvate hoonete ja rajatiste vaikeremonditoode teostamine aastail 2017-2018,455224
EE,Plaatserverite terviklahenduse hange,452039
EK,Sammuvate ekskavaatorite terastrosside ostmine,447700
EE,Tulemuurid ,444000
EK,Polevkivi laadimise ja veoteenuse ostmine Narva karjaari Viivikonna laost Eesti Elektijaama uhendlattu,444000
EE,Varbamisteenus,444000
EE,Kirjalik tolketeenus,444000
EK,Saematerjalide ostmine,441422
ER,Raamlepingu solmimine transporditeenuse (auto+laev) ostmiseks marsruudil Johvi-Middlesborough,441040
EE,Eesti Energia AS kontserni soidukite rendihange,437104
EK,Tehnoloogiliste puuraukude puurimisteenuse ostmine,437014
EE,Industry 3.5: Expansion of IT support in trading processes �  Allegro implementation,431509
EK,Keemiakaupade ostmine,430976
EE,Laivorgu tulemuuri terviklahendus ja tugiteenus kolmeks aastaks,429200
EK,Saematerjalide ostmine,426991
EK,Allmaa eriveokite ja allmaa tehnilise abi furgoonautode ostmine ,418840
NJ,Body rotary feeder LSS 500x3000 drw. 125001 (Laitex) - 22 pcs,415140
EK,Automaatikaseadmete varuosade ning hooldus- ja remonditeenuse ostmine,408127
EK,Narva karjaari ja Estonia kaevanduse tehnoloogilise tee asfaltkatte remonditeenuse ostmine,402627
EK,45 tonnise kandevoimega karjaarikalluri ostmine,399600
EE,Aulepa tuulepargi kaughalduse teenus/ Aulepa wind park remote monitoring and operation services,397824
EK,Magnetiidi ostmine ,397602
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine,396270
EE,Arvete haldamise ja edastamise teenuse osutamine,396253
NJ,110G13L terasest valudetailide ostmine,396143
EE,Oracle WCC arendus ja konfiguratsioon/Oracle WCC development and configuration,393206
ER,Rahvusvaheliste ulegabariitsete autovedude hankekonkurss raamlepingute solmimiseks 2016 ,386979
EK,Filtrite ostmine,386280
EE,Paroolihalduslahenduse tarkvara litsentside ja tehnilise toe soetamine ,384800
ER,Raamlepingute solmimine terastoodete ostmiseks ,375977
EK,Kaevise tootlemise seadmete ja nende varuosade ostmine ,374393
EK,Elektritoodete. -materjalide ja  -tarvikute ostmine,372990
EK,Elektritoodete. -materjalide ja  -tarvikute ostmine,371235
NJ,EEJ kutuseetteande lintkonveieri K-3A ajami tarne koos paigaldusega ,369438
NJ,Enefit 140 tootmishoone ATS susteemi tooprojekti koostamine ja ehitamine ,368705
EK,Laeankurdamispinkide puurimisinstrumentide ostmine,367188
EE,Veebiplatvormi hange koos juurustamise ja vajalike funktsionaalsuste arendamisega,365856
TO,Veebiplatvormi hange koos juurustamise ja vajalike funktsionaalsuste arendamisega,365856
TO,Aulepa tuulepargi korraliste hoolduste labiviimise teenuse ostmine,364962
EE,Esmaste tulekustutusvahendite ost ja hooldus,364546
EE,Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarne ,361742
NJ,Enefit Energiatootmine AS-i tehnoloogiliste seadmete ja rajatiste puhastusteenuste tellimine,355200
NJ,Laagrite ostmine. 2019-2020,355200
EK,Raudtee roobaste. poorangute ja poorangudetailide ostmine,354564
EK,Kaabelliinide ehitamine,352536
EE,Iru elektrijaama settebasseini puhastamine ja sette kaitlemine,349872
EE,ariklassi arvutite hange,340400
EK,Joukaablite ostmine,339364
EK,Puurseadmete puurinstrumentide ostmine,337428
EE,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarneks ,335331
NT,Metalltoodete valmistamine,335146
EE,Iru elektrijaama jaatmeenergiaplokis poletatavate purustatud voi tukeldatud vanarehvide tarne ,333814
EK,Veerelaagrite ostmine,333000
NJ,Eesti elektrijaama ja Balti elektrijaama tuhaarastussusteemi maa-aluste kanalite ja torustiku puhastamine tuha- ja karbonaatsetest ladestustest,332358
EE,Konkurss biomassi muugilepingute solmimiseks,330617
EK,Lohkeaukude puurpinkide puurimisinstrumentide ostmine,329503
EK,ATS susteemi ehitamine Estonia kaevanduses,328585
TO,Laaskorve paikesepargi paigaldus- ja ehitustood,328558
EE,Reklaamiteenuse osutamine,325600
EE,Eesti Energia AS kingipoe ja reklaamkingituste partner,325600
EE,Veejahutite rent ja joogivee ostmine Eesti Energia AS kontserni ettevotjatele,325600
EK,Maakaablitrasside projekteerimise ja ehitusteenuse ostmine,325372
EK,Tooroivaste ostmine,324937
EK,Poolvagunite renditeenuse ostmine,324120
EE,Ehitusremonditoode teostamine Eesti Energia AS Ida-Virumaal asuvatel objektidel,323840
TO,Gaasikatla (8 MW) ostmine. paigaldamine. seadistamine. personali koolitus. testimine,323111
NJ,Eesti Elektrijaama energiaploki nr. 7 tuhakuuri katuse taastamine,320390
EK,Sukelpumpade ostmine,314339
EE,CRM lahenduse arendustoode ja hooldustoode hankimine,310800
NJ,Tehnilise sunteetilise soolhappe ostmine,306338
EE,Atlassiani toodete litsentsid ja litsentsitugi,304880
EE,Konkurss Auvere elektrijaama biomassi muugilepingute solmimiseks,303104
EK,Terastoodete ostmine,302772
EE,IT seadmed,296000
EE,Project Online litsentside kasutusoiguste hankimine,296000
EE,Meediahange,296000
EE,UX disaineri ressursi hankimine,296000
EE,Autopesu teenuse ost,296000
EE,Autopesu teenuse ost (katmata osadele kordus hange),296000
EK,Allmaa elektri- ja jaotuskilpide ostmine,296000
NJ,Raamlepingute solmimine laagrite ostmiseks,296000
EK,Keevitusmaterjalide ostmine,295985
EK,Estonia kaevanduse allmaa tooliste arvestus susteemi lahenduse leidmine ,293040
TO,Ruhnu Taastuvenergialahenduse konteineriseeritud automaatikalahendus koos akudega,292418
NJ,Enefit Energiatootmine ASi peaskeemi elektrienergia voimsuse mootesusteemide ja elektrienergia arvestussusteemide umberkorraldamine,288704
JV,Tallinn. Rehelepa tn 9/11 ja 10/12 elektrivarustus,285204
NJ,Eesti elektrijaama uhendatud abikorpuse automaatse tulekahjusignalisatsiooni (ATS) susteemi rekonstrueerimine,282428
ER,Raamlepingute solmimine autokraanateenuste ostmiseks.,281200
EE,Microsoft Dynamics 365 litsentside rentimine,279720
EK,Raudtee roobaste. poorangute ja poorangudetailide ostmine,279317
EK,Narva karjaari tootmishoonete remonditeenuse ostmine,279131
NT,Enefit280 veetoru utilisaatorkatla uue tuhaarastussusteemi paigaldamine. EE olitoostus AS,274591
EE,Software and hardware upgrade for Winwind 3MW wind turbines,273800
EE,Ekspedeerimisteenuste tellimine,273430
NJ,Sulgearmatuuri varuosade ostmine,268561
EK,Automaatikaseadmete ja -komponentide ostmine,267880
EK,Allmaa inimveo furgoonautode ostmine,267041
EE,Elektrooniliste stendide ja sisuhaldustarkvara teenuse ost,266400
EE,Vee- ja vahtkustutussusteemide ning suitsueemaldussusteemide hooldamine,266400
EE,Continuous emission monitoring system (CEMS) services (Pidevmonitooringususteemide hooldus ja remont),266400
EK,Soonuri Ural-33M ning puurmasinate MBK. MBM varuosade ja tarvikute ostmine,265878
NJ,Vedela susinikdioksiidi (CO2) ostmine,264180
NJ,Mahuti (V=400 m3) valjavahetamine ,262937
EE,Meditsiiniteenuse osutamine Enefit Energiatootmine AS-le,262717
EE,Iru elektrijaama isolatsiooni- ja muuritistood ,259000
NJ,Ehitustellingute rentimine koos pustitamisega,259000
EK,Maemassi purustussolme rennide valmistamine ja paigaldus,258870
EK,Narva karjaari tehnoloogilise tee asfaltkatte remonditeenuse ostmine,258082
EK,Allmaa tuletorje-veetorustiku renoveerimine,258069
NJ,Katlasektsioonide ostmine,257165
NJ,Enefit Energiatootmine AS-i torustikuarmatuuri hoolduse ja remondi labiviimine,255744
NJ,Eesti elektrijaama kutuseetteandest nr 2 Auvere kutuseetteandesse konveieri eelprojekteerimine ,253672
EK,Poolvagunite renditeenuse ostmine,253272
EK,Terastoodete ostmine,251742
EK,Laeankurdamispinkide (tootja SMAG) puurimisinstrumentide ostmine,250283
NJ,Eesti elektrijaama tuhavalja pulbitorude vasaku kogumi torustiku nr 15 ja 16 tostmine kuni korgusmargini 85.5 ja parema kogumi torustiku nr 1. 5. 13 ja 14 tostmine kuni korgusmargini 85.6 m,250019
EE,Labipaasususteemide asendamine ja sidumine EE keskse andmebaasi ja haldusrakendusega,248623
EK,Allmaa teleskooplaadurite ostmine,247409
EK,Soonuri Ural-33M ning puurmasinate MBK. MBM varuosade ja tarvikute ostmine,247299
NJ,EEJ peakorpuse konstruktsioonide audit. kutuseetteande nr 1 ja nr 2 vahelise konveieri eelprojekti ja eelarve koostamine,245680
EK,Allmaa kutuseveoki ostmine,245680
EE,Polevkivi keemiatoostuse toodete kvaliteedi analuusi teenuse ostmine (Hydrotreatment),244200
JV,Paldiski. Kadaka tee 4. 39. Gaasikompressorjaama el. liitumine. LP4899. ,242702
EE,umarpuidu hakkimise ja teisaldamise teenuse osutamine,242631
JV,Tallinn. Peetri tn kaabelkanalisatsiooni rajamine (LP4477. TP0557),241608
JV,Muhu 110/10 kV alajaama 10 kV maauhendusvoolu kompenseerimisseadmete paigaldamine IK0961,241225
EK,Allmaa teleskooplaadurite ostmine,239477
EK,Kopahammaste ostmine,239375
NJ,Equipment Criticality Analysis and Asset Management Development based on Energy Block No 8 at Eesti Power Plant,237422
EK,Madalpinge kaablite ostmine,236918
TO,Iru elektrijaama koosolekuruumi ehitus tootmishoone +9 tasandile,236793
EK,Kraapkonveierite varuosade ostmine,236011
EE,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatava jaatmekutuse tarneks,235746
EE,Tableau server ja Desktop Professional litsentside ning tootetoe hankimine,235736
ER,Raamlepingute solmimine terastoodete ostmiseks.,233304
EK,Laeankurdamispinkide (tootja SMAG) puurimisinstrumentide ostmine,229999
EK,Elektriliinide ehitustrasside ettevalmistamise teenuse ostmine,229140
NJ,Eesti Elektrijaama pohi- ja tippkoormuse boileri uhendamine 6. energiaploki 6 at kollektoriga,228907
TO,Aulepa tuulepargi tuulikute trafode vahetus,228290
JV,Tallinn. Tonismagi 11a el. liitumine. LP4170.,226424
EE,Aulepa Tuulepargi tuulikute labade remonttood/ Turbine Blade Repair Services for the Aulepa Wind Park,224886
NJ,Eesti elektrijaama territooriumil auru-ja masuuditorustiku estakaadi konstruktsiooni renoveerimine ,224338
EE,Fotograafiateenused,222000
EE,Tulemuspohine digiturundusteenus,222000
EE,Toiteseadmete ost ja hooldus,222000
ER,Raamlepingute solmimine puitmaterjalide ostmiseks,222000
EK,Toitur-purusti HALBACH&BRAUN varuosade ja hooldus- ning remonditeenuse ostmine,222000
NJ,Eesti Elektrijaama ploki nr 4 vaavlipuhastusseadme mikserikorpuste asendamine,218922
EK,Kasutatud poolvagunite ostmine,214600
EK,Teisaldatavate komplektalajaamade ostmine,214504
EE,Ostuarvete haldamise teenuse tellimine,214316
TO,Jaatmete veoteenuse ostmine ,213120
EE,VMware NSX litsentside ost koos tehnilise toega uheks aastaks,213025
EK,Filtreerivate paastetorbikute ostmine,209953
EK,Vasarpurusti SMD-98B haamrite ostmine,209346
EE,Serverite ja ketaste ost,207200
EK,SCANIA tehnika analoogvaruosade ostmine,207200
EK,Soiduautode. maasturite ning vaikebusside remonditeenuse ostmine ,207200
EK,Terastoodete (metalli) ostmine,207063
EE,IFS tarkvara litsentside tootetoe ja hoolduse hankimine,205927
EK,Keskpingekaablite ostmine,205572
TO,Iru elektrijaama seadmete remonttood ,204595
EK,Inertssoelurite GIST72 ja GISL62 ostmine,204576
EK,Ehitusmaterjalide ja koristusvahendite ostmine,204422
NJ,Madalsurve reservrootori 26. 27. 30 ja 31. astme labade paigaldamine ja auruturbiini laagrite nr 4 ning 5 kaelte remont ja balansseerimine,202594
TO,Konkurss Ruhnu diiselelektrijaama biodiisli ostmiseks koos transpordiga,202020
NT,Avanevate akende paigaldus Enefit280 retordihoones. Eesti Energia olitoostus AS,200914
EE,Raamhange SHDSL ja VDSL2 seadmetele,199800
ER,Isikukaitsevahendite ostmine,199381
EK,Lohkematerjalide veokite ostmine,199312
EK,Konveierilintide jatkude liimimise ja veotrumlite kummeerimise teenuse ostmine,198320
EE,Rehvide ost,198070
NJ,Tooroivaste ostmine,197976
ER,Eritranspordivahendite ostmine,196248
EE,Iru elektrijaama jaatmeenergiaplokis poletatava jaatmekutuse tarne ,196100
TO,Iru elektrijaama jaatmeenergiaploki konveierite remonttood,196070
EE,Audio- ja videoseadmete ost,195360
EK,Sammuvate ekskavaatorite E� plokkide ostmine,195034
NJ,Tehnilise sunteetilise soolhappe ostmine,192400
EK,Estonia kaevanduse maemassi purustussolme fassaadi remontimine ja katuse rekonstrueerimine ,192400
EK,Puitliiprite ja pooranguprusside ostmine,192308
NJ,"Montaa�itood vastavalt tooprojektile 15320-0050 ""Turbiiniosakonna kondensaadi soojendamine aurugeneraatoris DU01-EP001 toodetud auruga""",191808
JV,"Tartu linn. Raja tn 24 detailplaneeringu ala I etapi liitumine valiselektrivorguga
(LP4840. IL5378).",191282
EK,Vasarpurusti SMD-98B haamrite ostmine,191253
NJ,Auvere elektrijaama 300 MW energiaploki instrumentaal- ja toosuruohu tootmise. ettevalmistamise ja etteande seadmete ja tehnoloogiliste susteemide tehniline hooldamine ja remont,189372
NJ,Filtrikottide valja vahetamine katladel 3K-A. 3K-B,189049
EE,Aulepa tuulepargi tuulikute nr 8 ja 12 trafode vahetus ,187664
ER,Kulmpainutatud ja keevitatud toruprofiilide ostmine.,185912
ER,Teraste S355J2 ostmine.,185835
JV,Tartu maakond. Kastre vald. Haaslava kula. Sudame kinnistu elektrivorguga liitumine (LP4845/IL5379),185550
JV,Tallinn. Kopli liinid. el. liitumine I-etapp. LP4108. IP3159. LP4740.,185382
EE,Monitoride ostmine,184999
EK,Madalpinge kaablite ostmine,184574
TO,Paide koostootmisjaama aurukatlale gaasipoleti tarnimine ja paigaldamine,184260
NJ,Sulgearmatuuri varuosade ostmine,181886
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine,181744
EK,Protomont-tuupi kaabli ja vulkaniseerimisseadme ostmine,181448
EK,Joukaablite ostmine,181004
NJ,Eesti elektrijaama endise puidutsehhi ruumi rekonstrueerimine laoruumiks. II etapp,180190
EK,Pumpade ostmine,179956
EE,Iru elektrijaama jaatmeenergiaplokis poletatava jaatmekutuse tarne,179820
NJ,Eesti elektrijaama 4. ploki K-200-130 turbiini madalsurve rootori asendamine ja madalsurve silindri remont,179080
EK,Toostuslike gaaside ostmine,178044
NJ,Pumpade APOLLO varuosade ostmine,177934
ER,Raamlepingute solmimine projekteerimisteenuse osutamiseks,177600
EK,SRu-riikides valmistatud mootorite ja agregaatide remonditeenuse ostmine,177600
JV,Sikkali vineeritehase KP liitumine (LP4651),177202
JV,Tartumaa. Hiiekula ja Hiiesaare t el. liitumine. Rahinge. LP5006. IL5453.,176859
NJ,Ratasekskavaatori rentimine,176712
EK,Elektriliinide ehitutrasside ettevalmistamise teenuse ostmine 2,174670
EK,6/0.69 kV teisaldatavate komplektalajaamade ostmine,173752
EE,Konkurss biomassi muugilepingute solmimiseks,173227
NJ,Eesti elektrijaama pulbitorustiku estakaadi tugede nr 41. 45. 46. 54. 59. 70. 79. 88. 97. 104 ja 105 rekonstrueerimine,173160
NJ,Ekskavaatori rentimine,171677
EK,Allmaa laadur-ekskavaatori ostmine,171310
EK,Balti jaama manoovritoo teenused,170940
EK,Paigalduskaablite ja juhtmete ostmine,169895
NT,PUMBAOSADE OSTMINE,169342
EE,Uuring polevkivi geokeemilise muutlikuse ja polevkivi oli kvaliteedi vaheliste seoste leidmiseks ,168585
EE,Varunduslahenduse III etapi juurutamine ja seadmete laiendused,168551
EK,Kaablitrasside ehitusteenuse ostmine,168064
NJ,Tugirullide valmistamine,166944
EK,Pukk- ja sildkraanade hooldus- ning remonditeenuse ostmine,165760
EK,Konveierilindi ostmine,163840
NJ,Mahuti CEH valjavahetamine vastavalt tooprojektile,163540
EK,Buldooserkobestite alusvankrite komplektide ostmine,163136
EK,Tootervishoiuteenuse ostmine,163118
EE,Consultancy Services: Desktop Study on Biomass. Waste to Energy. Wind Power. PV Solar Energy and Pump-Hydro Energy Regulatory Framework,163105
NJ,Sulgemisarmatuuri ja varuosade ostmine,163090
ER,Trapetsprofiili ja silepleki ostmine,162839
NJ,Tehnilise kontaktvaavelhappe ostmine,160735
NJ,Procurement of Continuous Emission Monitoring System (CEMS),160358
JV,Mustvee 110/35/15/10 kV alajaama 15 kV maauhendusvoolu kompenseerimisseadmete paigaldamine IK0959 ,160161
EE,Varunduse III etapi juurutamine - tarkvara hankimine,160062
ER,Teraste ostmine.,159889
EE,Tootajate veoteenuse hange,159840
EK,Graniitkillustiku ostmine,159440
EK,Toojalatsite ostmine ,159121
EK,Allmaa elektrikilpide ostmine,158649
EK,Allmaa 6 kV jaotusseadmete koos varuseadmete komplektiga ostmine,158286
EK,Kohttuulutuse ventilaatorite ostmine,156599
NJ,Tigukonveierite ja laagritoe valmistamine,156436
JV,Tallinn. Voistluse 6. el. liitumine mp. LP3990.,155682
EE,Iru elektrijaama jaatmete poletamisresti remonttood,155400
EE,Vorguseadmete (switchide) hange,154385
EK,Puitliiprite kaitlemisteenuse ostmine,153920
NJ,Balti elektrijaama tuhavalja nr 1 tolmamise vahendamise uuringud,153105
NJ,Eesti elektrijaama ja Balti elektrijaama siseteede ja valisteede asfaltkatte remont,153005
EK,Lintkonveierite ja nende seadmete varuosade ostmine,152993
JV,Jogeva 110/35/15/10 kV alajaama 15 kV. 10 kV maauhendusvoolu kompenseerimisseadmete paigaldamine IK0958 ,152118
NJ,Screw feeder ostmine,150812
EK,Inertssoeluri GIST72 ostmine,149332
NJ,Pumpade varuosade SULZER ostmine,149083
TO,Paide elektrijaama seadmete hooldustood,148369
EK,Lintkonveierite ja nende seadmete varuosade ostmine,148306
